,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
0,Tyler Harvey,2015,Eastern Wash.,29,37.4,22.9,3.1,6.0,51.7%,3.9,9.6,40.9%,4.9,5.8,85.6%,0.7,2.9,3.6,2.4,1.1,0.1,2.1,2.0
1,Tyler Haws,2015,BYU,33,33.1,22.5,5.9,11.5,51.9%,1.6,4.3,37.1%,5.8,6.8,86.5%,1.3,3.3,4.6,2.4,1.0,0.3,2.0,1.3
2,Saah Nimley,2015,Charleston So,28,37.6,22.3,2.5,5.8,42.3%,3.6,10.4,35.1%,6.4,7.8,82.2%,0.6,3.5,4.1,4.1,0.9,0.0,2.8,2.2
3,Zikiteran Woodley,2015,Northwestern St,28,32.3,22.2,7.1,11.7,60.4%,1.1,3.0,36.9%,4.8,5.9,80.6%,1.7,3.4,5.1,1.2,1.1,0.7,1.2,2.4
4,Damion Lee,2015,Drexel,26,38.0,21.6,3.9,8.2,48.1%,2.4,6.2,38.9%,6.5,7.3,88.9%,0.9,5.2,6.2,2.4,1.4,0.3,1.9,2.3
5,Amere May,2015,Delaware St,31,34.6,21.3,4.4,10.0,43.7%,2.8,7.3,38.9%,4.1,5.0,82.5%,1.0,3.3,4.3,2.6,1.0,0.2,3.0,1.8
6,Corey Hawkins,2015,UCD,28,33.7,21.2,3.7,7.3,51.2%,3.0,6.1,49.1%,4.8,5.8,82.6%,0.6,4.2,4.8,3.3,1.3,0.2,3.2,2.0
7,Denzel Livingston,2015,Incarnate Word,25,37.2,21.1,5.1,10.1,50.2%,1.3,4.4,29.4%,7.1,8.8,80.9%,1.6,4.4,6.0,2.7,2.4,1.4,2.6,3.1
8,Joseph Young,2015,Oregon,35,37.0,20.7,4.7,9.3,50.6%,2.6,7.1,36.4%,3.5,3.8,93.2%,0.5,3.8,4.3,3.7,1.1,0.0,2.5,1.5
9,D.J. Newbill,2015,Penn St,34,37.1,20.7,5.4,11.0,48.5%,1.8,4.9,37.0%,4.6,6.1,75.8%,1.1,3.6,4.7,3.1,1.3,0.2,2.6,2.1
10,Jalan West,2015,Northwestern St,28,35.5,20.7,3.4,7.0,47.7%,3.0,6.8,43.9%,5.1,5.9,86.6%,0.5,4.0,4.5,7.4,1.9,0.4,2.8,2.1
11,Ty Greene,2015,USC Upstate,32,35.5,20.6,3.8,8.0,46.9%,3.0,7.5,39.4%,4.2,5.6,74.3%,0.9,2.2,3.1,2.2,2.0,0.2,1.4,1.7
12,Chavaughn Lewis,2015,Marist,29,35.7,20.6,5.6,12.0,46.4%,1.4,4.9,28.9%,5.1,7.7,66.5%,0.9,4.4,5.3,2.7,2.3,0.8,3.6,2.4
