,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
0,Trae Young,2018,Oklahoma,23,34.9,29.9,4.7,9.3,50.9%,4.2,10.6,39.3%,7.9,9.4,83.8%,0.4,3.7,4.0,9.3,1.8,0.3,5.3,1.6
1,Tiwian Kendley,2018,Morgan St,13,31.5,26.1,6.5,12.2,53.2%,1.7,5.8,28.9%,8.1,10.9,73.9%,1.5,2.4,3.8,2.1,1.8,0.2,3.7,2.8
2,Kendrick Nunn,2018,Oakland,22,37.3,26.0,4.2,8.7,48.2%,4.6,11.6,39.8%,3.7,4.5,83.7%,0.8,3.8,4.6,3.9,1.5,0.2,3.0,2.4
3,Jordan Howard,2018,Central Ark,24,36.7,25.9,4.8,9.6,49.4%,3.5,8.4,41.8%,5.9,6.7,88.2%,0.4,3.5,3.9,3.0,1.0,0.0,2.3,1.4
4,Chris Clemons,2018,Campbell,20,34.9,25.2,4.4,8.6,50.9%,3.1,8.1,37.9%,7.3,8.5,86.4%,0.3,4.2,4.5,2.4,1.7,0.3,3.3,2.0
5,Justin Wright-Foreman,2018,Hofstra,24,38.3,25.0,5.7,10.8,52.3%,3.1,8.5,36.9%,4.3,5.2,81.6%,0.4,2.8,3.2,3.0,0.8,0.2,2.3,2.0
6,RJ Cole,2018,Howard,24,37.9,23.9,3.9,10.0,39.0%,3.4,8.8,38.2%,5.9,7.7,77.2%,0.8,3.0,3.8,5.8,1.7,0.0,3.8,2.7
7,Mike Daum,2018,South Dakota St,23,31.9,23.7,5.4,11.2,48.2%,2.6,6.3,41.4%,5.1,6.0,85.5%,2.0,8.3,10.3,1.3,0.7,0.7,2.4,2.8
8,Matt Morgan,2018,Cornell,18,34.7,23.6,4.7,7.9,59.2%,3.0,7.4,40.3%,5.3,6.4,82.6%,0.3,3.7,4.1,3.3,0.7,0.3,2.7,1.6
9,Bryson Scott,2018,IPFW,23,31.9,23.3,6.0,11.6,52.1%,1.3,5.3,25.2%,7.1,8.6,82.8%,0.5,4.1,4.6,2.7,1.8,0.2,3.1,1.9
10,Damontrae Jefferson,2018,Texas Southern,14,36.5,23.2,4.1,9.9,41.3%,3.6,9.2,39.5%,4.1,5.4,77.3%,0.6,2.1,2.8,3.9,1.2,0.0,3.7,2.9
11,Fletcher Magee,2018,Wofford,22,34.7,22.8,3.3,5.8,57.0%,4.4,10.1,43.0%,3.1,3.4,91.9%,0.2,2.7,2.9,1.9,1.0,0.1,2.0,1.9
12,Jock Landale,2018,St Mary's,25,33.6,22.8,9.1,13.6,66.6%,0.1,0.2,40.0%,4.4,5.8,75.3%,3.0,7.7,10.7,2.0,0.4,1.0,2.3,2.9
13,Jerrick Harding,2018,Weber St,20,32.6,22.3,6.4,11.1,57.7%,1.9,4.5,42.7%,3.8,4.4,86.2%,0.8,2.7,3.5,1.6,0.8,0.1,2.3,2.0
14,Markus Howard,2018,Marquette,24,32.1,22.0,4.2,7.4,56.5%,3.4,8.9,38.5%,3.5,3.7,94.3%,0.3,3.2,3.5,2.9,0.8,0.1,2.3,2.6
15,Andre Spight,2018,No. Colorado,22,34.3,22.0,4.0,8.0,50.6%,3.5,8.9,38.8%,3.5,4.4,81.3%,0.6,3.6,4.2,3.7,1.0,0.2,2.7,1.9
16,Jon Elmore,2018,Marshall,23,38.3,22.0,4.3,8.4,50.8%,2.2,7.0,31.3%,6.9,8.3,83.2%,0.7,5.4,6.1,6.9,1.5,0.3,3.7,1.7
17,Jairus Lyles,2018,UMBC,21,35.0,21.9,4.6,9.5,48.0%,2.7,6.6,41.0%,4.6,5.7,80.8%,0.8,5.1,5.9,3.5,2.1,0.2,3.1,1.9
18,Zach Thomas,2018,Bucknell,26,32.4,21.8,4.3,8.5,50.5%,2.0,5.0,40.3%,7.3,9.5,76.8%,1.5,8.0,9.5,2.3,1.2,0.7,3.2,1.9
