,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
0,Marcus Keene,2017,Central Michigan,30,37.6,30.1,5.8,11.2,51.3%,4.0,11.0,36.8%,6.5,7.9,81.9%,0.7,3.6,4.3,5.1,0.8,0.0,4.7,2.1
1,Mike Daum,2017,South Dakota St,33,33.0,25.5,5.6,9.9,56.4%,2.4,5.6,41.9%,7.2,8.3,87.2%,2.2,5.9,8.1,1.4,0.6,0.3,2.8,2.6
2,Chris Clemons,2017,Campbell,33,34.5,25.3,5.2,9.8,52.6%,3.3,9.5,34.5%,5.2,6.3,82.1%,0.5,4.2,4.8,2.5,2.0,0.5,2.9,1.9
3,Randy Onwuasor,2017,Southern Utah,31,35.5,23.9,6.0,13.3,45.0%,1.9,6.0,31.2%,6.4,7.7,82.1%,1.6,4.9,6.5,3.2,1.5,0.5,3.5,3.2
4,Dallas Moore,2017,UNF,30,36.1,23.5,5.8,10.9,53.1%,2.8,7.5,37.9%,3.4,4.2,81.7%,0.8,2.3,3.1,3.7,1.2,0.1,2.6,1.1
5,Cameron Morse,2017,Youngstown St,30,36.8,23.4,6.0,12.8,47.3%,2.5,7.8,31.9%,3.8,5.1,74.0%,0.5,2.7,3.2,3.1,1.1,0.1,2.2,1.4
6,Tyler Hall,2017,Montana St,30,34.8,23.4,3.8,7.0,53.8%,3.8,8.9,43.1%,4.3,5.2,83.9%,0.4,4.9,5.3,2.8,1.1,0.3,2.0,2.5
7,Markelle Fultz,2017,Washington,25,35.7,23.2,6.3,12.5,50.2%,2.1,5.0,41.3%,4.4,6.7,64.9%,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5
8,Keon Johnson,2017,Winthrop,30,35.6,23.0,3.8,8.2,46.6%,3.2,8.1,39.8%,5.6,6.5,86.7%,0.5,3.7,4.2,2.6,0.7,0.0,2.4,1.9
9,Rashawn Thomas,2017,TAMUCC,31,34.0,22.8,7.5,14.1,53.4%,0.5,1.2,38.9%,6.4,8.8,72.4%,2.2,6.6,8.9,2.6,1.5,1.9,3.8,3.6
10,Alec Peters,2017,Valparaiso,28,35.1,22.5,5.3,10.4,51.4%,2.0,5.3,36.9%,6.0,6.7,88.8%,2.4,7.5,9.9,2.3,0.8,0.3,2.4,2.3
11,Jonathan Stark,2017,Murray St,31,37.1,22.2,4.3,9.7,43.7%,3.4,7.9,42.6%,3.6,4.4,83.1%,0.3,3.5,3.8,5.2,1.2,0.0,2.8,2.4
12,Jack Gibbs,2017,Davidson,31,36.2,22.1,3.9,8.5,46.0%,3.0,7.7,39.2%,5.2,6.5,79.7%,0.7,3.3,4.0,4.1,1.3,0.0,2.6,2.5
13,T.J. Williams,2017,Northeastern,30,38.2,21.4,5.5,10.9,50.6%,1.2,3.6,33.3%,6.7,8.8,76.2%,0.8,3.9,4.7,5.3,1.0,0.1,3.4,2.2
14,Sindarius Thornwell,2017,South Carolina,31,34.3,21.4,4.4,9.4,47.1%,1.9,4.8,39.2%,6.9,8.4,83.0%,2.5,4.6,7.1,2.8,2.1,1.0,2.5,2.3
15,Dewayne Russell,2017,Grand Canyon,27,38.6,21.3,5.1,13.0,39.0%,1.9,4.7,40.6%,5.4,7.1,75.6%,0.5,3.4,3.9,5.5,1.4,0.1,2.7,2.1
16,Braylon Rayson,2017,Central Michigan,30,37.9,21.3,3.7,9.1,40.1%,2.9,7.9,36.1%,5.4,6.4,84.8%,0.8,3.4,4.2,3.2,1.1,0.0,2.7,2.2
17,Damon Lynn,2017,NJIT,19,35.6,21.3,2.2,5.1,43.3%,4.0,11.8,33.9%,4.8,5.6,86.8%,0.5,1.9,2.4,3.4,1.9,0.2,2.5,1.6
