,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
0,Keydren Clark,2005,St. Peter's,28,38.7,25.8,4.3,9.6,44.8%,3.9,10.6,36.7%,5.4,6.5,83.5%,1.3,2.8,4.1,4.1,3.3,0.2,2.9,2.0
1,Taylor Coppenrath,2005,Vermont,31,36.4,25.1,8.5,15.8,53.4%,0.3,1.1,27.3%,7.3,9.5,76.6%,4.4,4.6,8.9,1.9,1.2,0.7,1.7,2.0
2,Ronnie Price,2005,Utah Valley,28,37.2,24.3,5.3,11.2,47.6%,2.9,8.0,35.9%,5.1,6.4,78.9%,0.9,3.3,4.2,3.0,1.8,0.2,3.0,2.3
3,Juan Mendez,2005,Niagara,30,34.5,23.5,6.1,11.4,53.4%,1.3,4.3,30.5%,7.5,9.2,81.5%,3.4,7.2,10.6,1.3,1.2,2.1,2.3,3.1
4,Rob Monroe,2005,Quinnipiac,26,39.1,22.7,3.9,8.3,46.5%,2.8,7.9,35.0%,6.6,7.7,85.9%,0.6,2.6,3.2,6.5,1.3,0.0,3.7,2.8
5,Bo McCalebb,2005,New Orleans,30,34.9,22.6,7.9,14.9,52.7%,0.8,3.2,26.0%,4.4,7.8,56.7%,2.4,1.9,4.3,3.7,1.8,0.2,2.6,1.9
6,Ike Diogu,2005,Arizona St,32,36.4,22.6,6.6,11.0,59.8%,0.6,1.4,40.0%,7.8,9.7,79.7%,3.7,6.1,9.8,1.3,0.6,2.3,3.6,2.8
7,Tim Smith,2005,ETSU,29,35.9,22.2,6.4,14.6,43.9%,2.0,5.3,38.1%,3.3,4.4,75.6%,1.1,3.1,4.2,4.2,2.2,0.0,4.8,1.5
8,Jose Juan Barea,2005,Northeastern,30,33.2,22.2,5.5,11.5,48.0%,2.3,7.1,32.1%,4.4,5.6,78.4%,0.7,3.6,4.3,7.3,1.8,0.0,4.5,2.5
9,J.J. Redick,2005,Duke,33,37.3,21.8,2.5,5.9,41.5%,3.7,9.1,40.3%,5.9,6.3,93.8%,0.4,2.8,3.3,2.6,1.1,0.1,2.5,1.1
10,Ryan Gomes,2005,Providence,31,37.5,21.6,6.3,11.6,54.0%,1.7,4.4,38.0%,4.0,5.2,77.0%,2.8,5.5,8.2,3.2,1.5,0.2,2.5,1.6
11,Darshan Luckey,2005,St. Francis (PA),28,35.5,21.5,6.2,12.5,49.4%,1.4,3.5,39.8%,5.0,6.0,82.7%,0.8,4.5,5.3,1.3,1.4,0.3,2.1,1.6
12,Hakim Warrick,2005,Syracuse,34,37.5,21.4,7.2,12.7,56.6%,0.3,0.9,29.0%,6.2,9.1,68.1%,3.1,5.5,8.6,1.5,1.0,0.8,2.5,2.3
